Sentence,Mean_Dwell,Mean_Flight_UD,Mean_Flight_DD,Overlap_Rate,WPM,Accuracy,Burst_Pause_Count
identity lives in behavior,0.11036842105263202,0.1557894736842102,0.16173684210526282,0.5263157894736842,39.048811013767164,100.0,2
the smallest details define the strongest locks,0.10843750000000174,0.09962499999999785,0.14499999999999957,0.6875,58.22416302765648,42.5531914893617,1
machines learn from repetition,0.12012499999999804,0.16759375000000265,0.1556562500000025,0.59375,36.33167301494295,86.66666666666667,4
security should feel invisible,0.09409523809523805,0.11609523809523753,0.1469047619047623,0.6190476190476191,59.415745172470736,100.0,0
precision creates identity over time,0.11580000000000268,0.1494399999999996,0.14620000000000005,0.52,57.97879479264511,100.0,2
biometrics improve authentication,0.10567741935483813,0.07825806451612956,0.13883870967741943,0.8064516129032258,60.932451146330244,100.0,1
patterns strengthen verification,0.10647826086956576,0.08391304347826241,0.10939130434782818,0.5652173913043478,76.22072250893196,100.0,1
secure systems reduce friction,0.1047272727272754,0.09740909090908835,0.13459090909090968,0.6818181818181818,68.38278640204365,60.0,0
auth begins with movement,0.11042857142857629,0.10642857142856667,0.1417619047619009,0.6190476190476191,58.41121495327076,100.0,0
behavior is harder to fake than passwords,0.12182352941176709,0.09617647058823225,0.11397058823529495,0.5882352941176471,39.84128269495509,95.1219512195122,1
