Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
b,START_b,0.0000,0.0000,0.1110,0,13.54
e,b_e,0.0340,0.1450,0.1130,1,13.54
t,START_t,0.0000,0.0000,0.0920,0,13.95
h,t_h,0.0020,0.0940,0.0780,1,13.95
s,START_s,0.0000,0.0000,0.1190,0,12.45
e,s_e,0.0930,0.2120,0.0530,1,12.45
p,START_p,0.0000,0.0000,0.1040,0,9.35
r,p_r,0.1040,0.2080,0.0750,1,9.35
e,START_e,0.0000,0.0000,0.0840,0,13.11
v,e_v,0.1850,0.2690,0.0870,1,13.11
t,START_t,0.0000,0.0000,0.0900,0,15.72
y,t_y,0.0800,0.1700,0.0560,1,15.72
c,START_c,0.0000,0.0000,0.0920,0,10.74
o,c_o,0.4410,0.5330,0.0510,1,10.74
s,START_s,0.0000,0.0000,0.0870,0,15.34
u,s_u,0.2670,0.3540,0.0840,1,15.34
i,START_i,0.0000,0.0000,0.1540,0,9.62
s,i_s,0.1190,0.2730,0.0830,1,9.62
Backspace,s_Backspace,0.5310,0.6140,0.1070,1,9.62
d,Backspace_d,0.0250,0.1320,0.0980,1,9.62
b,START_b,0.0000,0.0000,0.0000,0,0.85
i,START_i,0.0000,0.0910,0.0800,0,0.85
o,i_o,0.4320,0.5120,0.1000,1,0.85
